"ItemBarcode","BrowseAuthor","BrowseTitle","LastCheckOutRenewDate","ItemYTDCircCount","PrevYearCircCount","ItemLifetimeCircCount"
"39870000737859","Schreiber, Joe, 1969- author.","Star wars : Maul lockdown","4/2/2014 12:00:00 AM","0",,"1"
"39870000735457","Gwynne, John, 1968- author.","Malice","1/30/2017 3:14:29 PM","1","1","8"
"39870000734021","Gibson, William, 1948-","Burning chrome","3/10/2017 11:56:38 AM","1","1","4"
"39870000754037","Brooks, Terry.","The High Druid's blade : the Defenders of Shannara","7/15/2016 4:43:32 PM","0","1","1"
"39870000731985","Card, Orson Scott.","Ender's game","6/10/2017 12:03:28 PM","2","2","7"
"39870000728734","Lackey, Mercedes, author.","Bastion",,"0",,"0"
"39870000723875","Robinson, Kim Stanley.","Shaman","3/3/2016 12:00:00 AM","0",,"3"
"39870000725342","Lackey, Mercedes.","Burdens of the dead","1/3/2017 3:06:43 PM","1",,"2"
"39870000725292","Salvatore, R. A., 1959-","The companions","8/31/2016 5:26:00 PM","0","1","3"
"39870000725573","Miller, John Jackson, author.","Kenobi","1/11/2017 1:05:55 PM","1","2","4"
"39870000725805","Goodkind, Terry.","The third kingdom","3/23/2016 12:00:00 AM","0",,"3"
"39870000725557","Martinez, Michael J.","The Daedalus incident",,"0",,"0"
"39870000717620","Card, Orson Scott.","Earth afire : the First Formic War","2/27/2017 5:06:26 PM","2","1","6"
"39870000717497","Ware, Danie.","Ecko rising","7/15/2016 8:33:28 AM","0","2","6"
"39870000715061","Lebbon, Tim, author.","Dawn of the Jedi. Into the void","4/14/2017 5:38:59 PM","1",,"1"
"39870000721036","Brooks, Terry.","Witch wraith",,"0",,"0"
"39870000708223","Manieri, Evie.","Blood's pride","6/9/2017 11:03:48 AM","1","1","6"
"39870000708645","Baggott, Julianna.","Fuse","6/14/2017 4:43:49 PM","1","1","6"
"39870000708637","Czerneda, Julie, 1955-","A turn of light : Marrowdell","4/14/2017 12:54:25 PM","4","2","8"
"39870000707720","Bishop, Anne.","Written in red : a novel of the others","5/13/2017 1:12:29 PM","1","1","7"
"39870000704586","Hobb, Robin.","City of Dragons.","7/6/2015 12:00:00 AM","0",,"6"
"39870000703810","Jordan, Robert, 1948-2007.","A memory of light","1/25/2017 2:58:17 PM","1",,"4"
"39870000701509","Zahn, Timothy.","Star Wars. Scoundrels","1/2/2016 12:00:00 AM","0",,"1"
"39870000703653","Belcher, R. S.","The six-gun tarot","6/14/2017 4:43:35 PM","1",,"6"
"39870000700220","Butcher, Jim, 1971-","Cold days : a novel of the Dresden files","1/7/2017 1:56:01 PM","1","1","3"
"39870000707381","Brooks, Terry.","Bloodfire Quest","3/15/2013 12:00:00 AM","0",,"1"
"39870000698077","Buckell, Tobias S.","Arctic rising","11/29/2012 12:00:00 AM","0",,"1"
"39870000698309","Rajaniemi, Hannu.","The fractal prince","1/13/2016 12:00:00 AM","0",,"4"
"39870000695578","Jeter, K. W.","Death's apprentice : a Grimm City novel","11/6/2013 12:00:00 AM","0",,"1"
"39870000693417","Kristoff, Jay.","Stormdancer","3/1/2016 12:00:00 AM","0",,"1"
"39870000313834","Anthony, Piers.","The source of magic","4/9/2014 12:00:00 AM","0",,"17"
"39870000313859","Adams, Douglas, 1952-2001.","Life, the universe, and everything","6/22/2015 12:00:00 AM","0",,"7"
"39870000316514","Lackey, Mercedes.","Brightly burning","8/29/2013 12:00:00 AM","0",,"8"
"39870000460734","Scalzi, John, 1969-","The ghost brigades","3/25/2016 12:00:00 AM","0",,"4"
"39870000460783","Abraham, Daniel.","A shadow in summer","3/13/2017 4:21:12 PM","2",,"9"
"39870000461302","Weis, Margaret.","Dragons of autumn twilight","8/9/2016 12:41:28 PM","0","2","16"
"39870000175399","Anthony, Piers.","Mouvar's magic","2/12/2013 12:00:00 AM","0",,"13"
"39870000175738","Pratchett, Terry.","Witches abroad","8/5/2014 12:00:00 AM","0",,"21"
"39870000175787","Salvatore, R. A., 1959-","The dragon's dagger","3/1/2011 12:00:00 AM","0",,"8"
"39870000175969",,"Magic of Krynn","7/13/2010 12:00:00 AM","0",,"14"
"39870000319211","Le Guin, Ursula K., 1929-","The other wind","11/1/2016 3:27:37 PM","0","2","7"
"39870000463357","McCaffrey, Anne.","Dragon's fire","5/10/2013 12:00:00 AM","0",,"4"
"39870000463472","Weis, Margaret.","Dragons of the dwarven depths","10/15/2011 12:00:00 AM","0",,"13"
"39870000320433","Zahn, Timothy.","Angelmass","11/5/2010 12:00:00 AM","0",,"6"
"39870000464314","Goodkind, Terry.","Phantom","6/7/2011 12:00:00 AM","0",,"8"
"39870000321357","Herbert, Brian.","Dune. House Corrino","10/2/2003 12:00:00 AM","0",,"8"
"39870000328089","Pratchett, Terry.","The color of magic : a Discworld novel","7/20/2016 2:41:01 PM","0","1","20"
"39870000328147","Pratchett, Terry.","Mort : a novel of Discworld","1/17/2017 4:25:14 PM","1",,"9"
"39870000328204","Pratchett, Terry.","Wyrd sisters","6/24/2013 12:00:00 AM","0",,"11"
"39870000185216","Anthony, Piers.","Geis of the Gargoyle","9/21/2012 12:00:00 AM","0",,"15"
"39870000328410","Weber, David, 1952-","Honor Harrington : flag in exile","11/18/2011 12:00:00 AM","0",,"6"
"39870000328568","Pratchett, Terry.","Pyramids : a novel of Discworld","9/7/2012 12:00:00 AM","0",,"15"
"39870000328634","Pratchett, Terry.","Sourcery : a novel of Discworld","10/11/2011 12:00:00 AM","0",,"9"
"39870000328733","Pratchett, Terry.","The amazing Maurice and his educated rodents","11/13/2013 12:00:00 AM","0",,"14"
"39870000185786","McCaffrey, Anne.","Dragonseye","4/17/2010 12:00:00 AM","0",,"27"
"39870000186669","Lackey, Mercedes.","Storm rising","6/25/2012 12:00:00 AM","0",,"13"
"39870000331901","Lackey, Mercedes.","The shadow of the lion","11/15/2016 4:00:13 PM","0","1","7"
"39870000534868","Brooks, Terry.","The Elf queen of Shannara","2/4/2017 3:00:29 PM","1",,"8"
"39870000535154","Clarke, Arthur C. (Arthur Charles), 1917-2008.","3001 : the final odyssey","3/17/2017 2:56:00 PM","1",,"40"
"39870000334947","Goodkind, Terry.","Stone of tears","3/25/2015 12:00:00 AM","0",,"7"
"39870000337213","Weis, Margaret.","Time of the twins","10/19/2012 12:00:00 AM","0",,"16"
"39870000338195","Danvers, Dennis.","The watch--being the unauthorized sequel to Peter A. Kropotkin's Memoirs of a revolutionist--as imparted to Dennis Danvers by Anchee Mahur, traveler from a distant future, or, A science fiction novel.","10/31/2012 12:00:00 AM","0",,"7"
"39870000338310","Marillier, Juliet.","Child of the prophecy","3/4/2015 12:00:00 AM","0",,"23"
"39870000338377","Odom, Mel.","The rover","7/1/2016 3:48:48 PM","0","1","22"
"39870000196676","Bradley, Marion Zimmer.","Exile's song : a novel of Darkover","8/26/2016 2:49:42 PM","0","1","7"
"39870000340019","Brooks, Terry.","Antrax","11/28/2009 12:00:00 AM","0",,"20"
"39870000340126","Feist, Raymond E.","Krondor, the betrayal","1/12/2015 12:00:00 AM","0",,"19"
"39870000340183","Feist, Raymond E.","Krondor, the assassins","6/20/2013 12:00:00 AM","0",,"11"
"39870000340589","Feist, Raymond E.","Krondor, tear of the gods","6/20/2013 12:00:00 AM","0",,"10"
"39870000341108","Adams, Douglas, 1952-2001.","The salmon of doubt : hitchhiking the galaxy one last time","4/10/2016 12:00:00 AM","0",,"14"
"39870000341249","Hobb, Robin.","Ship of magic","9/9/2014 12:00:00 AM","0",,"13"
"39870000341306","Hobb, Robin.","Ship of destiny","9/23/2014 12:00:00 AM","0",,"12"
"39870000341363","Hobb, Robin.","Royal assassin","4/14/2015 12:00:00 AM","0",,"20"
"39870000341421","Hobb, Robin.","The mad ship","9/15/2014 12:00:00 AM","0",,"12"
"39870000341496","Hobb, Robin.","Assassin's quest","4/14/2015 12:00:00 AM","0",,"22"
"39870000341553","Hobb, Robin.","Fool's errand","2/23/2017 1:23:45 PM","1",,"17"
"39870000341629","Hobb, Robin.","Assassin's apprentice","7/27/2015 12:00:00 AM","0",,"28"
"39870000342718","Weis, Margaret.","Dragons of a vanished moon : the War of souls, volume III","8/19/2013 12:00:00 AM","0",,"25"
"39870000489162","Jordan, Robert, 1948-2007.","Lord of chaos","4/1/2017 5:55:13 PM","1","6","23"
"39870000344037","Brooks, Terry.","Morgawr","12/15/2009 12:00:00 AM","0",,"25"
"39870000344615","Miéville, China.","The scar","11/9/2012 12:00:00 AM","0",,"19"
"39870000346206","Card, Orson Scott.","Shadow puppets","5/26/2015 12:00:00 AM","0",,"13"
"39870000346503","Friedman, Michael Jan.","X-Men : shadows of the past","6/14/2013 12:00:00 AM","0",,"9"
"39870000346560","Friedman, Michael Jan.","The Valiant","3/3/2007 12:00:00 AM","0",,"3"
"39870000203605","Card, Orson Scott.","Children of the mind","6/15/2017 4:05:25 PM","3",,"40"
"39870000349648","Tepper, Sheri S.","Gibbon's decline and fall","6/11/2013 12:00:00 AM","0",,"4"
"39870000350117","Bear, Greg, 1951-","Blood music",,"0",,"0"
"39870000351198","Herbert, Brian.","Dune. The Butlerian jihad","12/2/2008 12:00:00 AM","0",,"10"
"39870000208646","Pohl, Frederik.","The other end of time","5/13/2017 3:56:09 PM","1",,"18"
"39870000208992","Carver, Jeffrey A.","The infinite sea","2/4/2017 4:01:50 PM","1",,"12"
"39870000209040","Weis, Margaret.","Dragons of summer flame","8/16/2014 12:00:00 AM","0",,"38"
"39870000209107","Lackey, Mercedes.","Storm breaking.","11/4/2010 12:00:00 AM","0",,"15"
"39870000209115","Salvatore, R. A., 1959-","The sword of Bedwyr","12/6/2012 12:00:00 AM","0",,"26"
"39870000209156","Green, Roland J.","Knights of the crown","4/25/2006 12:00:00 AM","0",,"23"
"39870000209172","Beagle, Peter S.","The last unicorn","5/14/2016 12:00:00 AM","0",,"26"
"39870000209222","Lackey, Mercedes.","Storm warning","6/25/2012 12:00:00 AM","0",,"21"
"39870000209230","Salvatore, R. A., 1959-","Luthien's gamble","1/12/2013 12:00:00 AM","0",,"24"
"39870000209289","Anthony, Piers.","Yon ill wind","9/18/2012 12:00:00 AM","0",,"13"
"39870000353343","Pratchett, Terry.","Night watch","11/5/2011 12:00:00 AM","0",,"14"
"39870000353384","Salvatore, R. A., 1959-","The thousand Orcs","8/2/2012 12:00:00 AM","0",,"28"
"39870000210816","Salvatore, R. A., 1959-","The dragon king","2/9/2013 12:00:00 AM","0",,"21"
"39870000212234","Anthony, Piers.","Hope of earth","12/22/2016 2:00:11 PM","0","1","16"
"39870000212952","Sheffield, Charles.","Higher education","8/7/2013 12:00:00 AM","0",,"10"
"39870000213067","Anderson, Kevin J., 1962-","Ill wind","4/15/2016 12:00:00 AM","0",,"11"
"39870000213125","Bradbury, Ray, 1920-2012.","Quicker than the eye","7/20/2016 5:40:20 PM","0","2","13"
"39870000213240","Niven, Larry.","The Ringworld throne","5/21/2013 12:00:00 AM","0",,"19"
"39870000213299","Brin, David.","Brightness reef : book one of a new uplift trilogy","9/6/2016 4:07:32 PM","0","2","19"
"39870000213307","Bova, Ben, 1932-","Moonrise","8/5/2016 2:59:21 PM","0","1","8"
"39870000213364","Weis, Margaret.","Starshield. Sentinels",,"0",,"0"
"39870000213489","Le Guin, Ursula K., 1929-","Four ways to forgiveness","11/28/2016 11:09:56 AM","0","1","10"
